anno,mese,giorno,Pioggia mm,Temp. min gradi C,Temp. med gradi C,Temp. max gradi C,Umidita' min %,Umidita' med %,Umidita' max %,Vento med km/h,Vento max km/h,Dir. V. max gradi N,Radiaz. KJ/m2,Press. med hPa
2022,3,26,0.0,11.3,15.1,19.4,22.0,38.0,68.0,8.0,38.0,107.0,19139.0,1026.0
2022,3,27,0.1,8.1,11.3,14.2,46.0,71.0,98.0,4.0,15.0,330.0,19465.0,1027.7
2022,3,28,0.0,7.1,9.1,11.0,79.0,95.0,99.0,9.0,24.0,332.0,15838.0,1024.3
2022,3,29,0.0,8.1,11.2,13.1,75.0,79.0,85.0,9.0,31.0,330.0,18398.0,1014.7
2022,3,30,1.2,10.2,12.3,14.6,65.0,79.0,91.0,9.0,30.0,209.0,4526.0,1004.6
2022,3,31,32.6,10.0,11.3,12.9,76.0,88.0,97.0,10.0,44.0,71.0,1883.0,991.9
2022,4,1,1.1,9.3,11.8,13.7,66.0,81.0,97.0,8.0,28.0,209.0,7661.0,993.4
2022,4,2,1.0,6.9,9.0,11.9,58.0,72.0,87.0,17.0,57.0,81.0,5485.0,1001.6
2022,4,3,0.0,6.8,8.9,12.1,30.0,51.0,66.0,22.0,67.0,77.0,19974.0,1014.1
2022,4,4,0.0,7.0,9.3,11.2,43.0,57.0,72.0,10.0,21.0,115.0,19855.0,1017.7
2022,4,5,0.0,8.5,10.2,12.2,62.0,71.0,80.0,7.0,18.0,318.0,21708.0,1013.4
2022,4,6,0.0,7.6,10.9,13.6,50.0,66.0,77.0,6.0,23.0,234.0,21089.0,1010.0
2022,4,7,0.0,10.8,12.2,14.2,60.0,75.0,86.0,9.0,28.0,134.0,19542.0,1004.0
2022,4,8,0.0,12.7,15.2,19.1,54.0,68.0,76.0,18.0,50.0,145.0,15329.0,1003.2
2022,4,9,2.8,5.7,12.2,17.8,42.0,63.0,87.0,27.0,109.0,66.0,9871.0,1003.5
2022,4,10,0.0,6.3,9.7,12.2,40.0,56.0,69.0,8.0,21.0,338.0,24685.0,1017.8
2022,4,11,0.0,8.3,11.1,12.9,39.0,61.0,76.0,11.0,27.0,282.0,23714.0,1021.9
2022,4,12,0.0,8.4,11.7,14.1,48.0,65.0,74.0,8.0,22.0,317.0,23867.0,1020.4
2022,4,13,0.0,9.8,12.7,16.1,54.0,67.0,75.0,4.0,12.0,316.0,22275.0,1019.5
2022,4,14,0.0,10.7,13.6,15.9,66.0,74.0,82.0,5.0,22.0,311.0,23616.0,1019.4
2022,4,15,0.0,11.2,14.2,16.2,62.0,73.0,84.0,6.0,23.0,157.0,23404.0,1019.2
2022,4,16,0.0,10.4,15.9,20.1,31.0,50.0,78.0,36.0,78.0,82.0,24471.0,1018.1
2022,4,17,0.0,9.0,12.0,15.6,25.0,34.0,46.0,29.0,96.0,77.0,24709.0,1019.6
2022,4,18,0.0,9.8,12.7,16.5,23.0,43.0,71.0,18.0,60.0,76.0,24709.0,1014.9
2022,4,19,0.0,9.7,12.2,13.6,38.0,52.0,73.0,11.0,60.0,104.0,17097.0,1011.2
2022,4,20,0.0,9.4,11.6,15.8,24.0,54.0,72.0,22.0,62.0,95.0,26268.0,1013.0
2022,4,21,2.8,9.1,11.7,14.7,49.0,66.0,79.0,8.0,43.0,94.0,6414.0,1009.8
