anno,mese,giorno,Pioggia mm,Temp. min gradi C,Temp. med gradi C,Temp. max gradi C,Umidita' min %,Umidita' med %,Umidita' max %,Vento med km/h,Vento max km/h,Dir. V. max gradi N,Radiaz. KJ/m2,Press. med hPa
2023,8,12,0.0,22.3,24.6,27.2,57.0,65.0,73.0,6.0,14.0,306.0,26380.0,1019.4
2023,8,13,0.0,22.6,25.7,28.7,53.0,72.0,83.0,5.0,26.0,152.0,25336.0,1017.0
2023,8,14,0.0,25.3,27.1,30.6,34.0,54.0,73.0,10.0,41.0,109.0,26064.0,1016.5
2023,8,15,0.0,25.0,27.6,30.6,42.0,56.0,74.0,14.0,40.0,87.0,25236.0,1015.2
2023,8,16,0.0,24.9,28.1,32.2,37.0,54.0,73.0,12.0,33.0,40.0,24305.0,1015.2
2023,8,17,0.0,25.5,27.0,29.5,47.0,64.0,78.0,7.0,26.0,78.0,24786.0,1014.4
2023,8,18,1.6,24.4,26.8,30.3,49.0,63.0,75.0,9.0,36.0,81.0,17927.0,1014.3
2023,8,19,0.0,24.9,28.5,32.0,44.0,60.0,73.0,14.0,41.0,64.0,24738.0,1015.2
2023,8,20,0.0,26.0,29.5,32.9,42.0,56.0,70.0,17.0,53.0,58.0,24517.0,1017.4
2023,8,21,0.0,26.8,30.5,35.0,32.0,49.0,70.0,12.0,34.0,56.0,24761.0,1017.7
2023,8,22,0.0,27.2,28.7,32.6,47.0,64.0,76.0,9.0,40.0,113.0,24640.0,1015.9
2023,8,23,0.0,26.3,29.5,32.4,41.0,59.0,79.0,7.0,29.0,105.0,22384.0,1013.7
2023,8,24,0.0,27.5,29.4,31.5,44.0,60.0,78.0,6.0,25.0,111.0,22699.0,1013.5
2023,8,25,0.0,26.4,28.3,30.7,47.0,60.0,74.0,4.0,15.0,314.0,22433.0,1011.5
2023,8,26,0.0,26.2,28.2,29.6,43.0,62.0,75.0,9.0,33.0,355.0,22868.0,1009.3
2023,8,27,0.0,27.4,28.6,30.2,44.0,59.0,73.0,9.0,30.0,321.0,21966.0,1005.9
2023,8,28,93.0,17.7,24.0,29.6,50.0,75.0,98.0,17.0,123.0,222.0,3175.0,1000.1
2023,8,29,8.7,18.3,21.0,24.0,55.0,71.0,81.0,16.0,51.0,78.0,12099.0,999.9
2023,8,30,20.6,18.3,21.0,24.0,67.0,76.0,88.0,38.0,71.0,84.0,5627.0,1003.7
2023,8,31,0.0,18.3,21.0,24.0,67.0,76.0,88.0,38.0,71.0,84.0,5627.0,1003.7
2023,9,1,0.1,18.3,21.0,24.0,64.0,72.0,78.0,8.0,21.0,128.0,0.0,1017.7
2023,9,2,0.0,18.3,21.0,24.0,63.0,72.0,82.0,6.0,12.0,83.0,22325.0,1019.7
2023,9,3,0.0,18.3,21.0,24.0,57.0,77.0,86.0,6.0,31.0,128.0,16523.0,1020.7
2023,9,4,0.0,21.7,24.2,27.2,36.0,51.0,62.0,24.0,70.0,62.0,16523.0,1021.4
2023,9,5,0.0,20.3,23.2,26.1,38.0,51.0,60.0,35.0,73.0,63.0,23095.0,1020.2
2023,9,6,0.0,21.4,25.0,28.2,42.0,51.0,61.0,26.0,58.0,82.0,22539.0,1019.3
2023,9,7,0.0,22.7,25.5,28.7,35.0,49.0,62.0,26.0,55.0,67.0,22267.0,1018.9
2023,9,8,0.0,23.1,25.8,29.3,39.0,50.0,58.0,29.0,56.0,70.0,22053.0,1017.5
2023,9,9,0.0,22.8,26.2,30.1,30.0,47.0,59.0,19.0,48.0,76.0,21817.0,1016.9
2023,9,10,0.0,22.5,25.4,30.3,38.0,55.0,72.0,12.0,38.0,82.0,21026.0,1016.6
2023,9,11,0.0,21.1,23.9,25.7,52.0,65.0,74.0,5.0,12.0,283.0,21132.0,1014.1
2023,9,12,0.0,21.2,23.4,25.4,64.0,72.0,77.0,6.0,16.0,298.0,19624.0,1014.0
2023,9,13,0.0,21.7,23.5,25.2,57.0,73.0,81.0,7.0,21.0,327.0,11914.0,1015.2
2023,9,14,11.4,20.3,23.1,25.9,57.0,71.0,87.0,12.0,46.0,313.0,14622.0,1016.7
2023,9,15,0.0,21.3,23.3,25.7,50.0,65.0,77.0,14.0,48.0,66.0,13644.0,1017.3
2023,9,16,0.0,20.2,22.5,25.1,55.0,69.0,78.0,6.0,23.0,93.0,18901.0,1017.8
2023,9,17,0.0,20.3,22.6,24.6,67.0,74.0,79.0,5.0,14.0,313.0,17124.0,1018.1
2023,9,18,0.0,21.4,23.5,25.3,61.0,73.0,79.0,8.0,36.0,153.0,6030.0,1014.4
2023,9,19,0.0,22.4,24.7,26.9,45.0,68.0,79.0,10.0,47.0,67.0,16198.0,1013.1
2023,9,20,0.4,21.9,23.6,25.7,60.0,68.0,78.0,7.0,39.0,321.0,15673.0,1014.4
2023,9,21,16.1,19.5,22.2,24.5,66.0,78.0,89.0,12.0,50.0,320.0,9513.0,1009.0
2023,9,22,4.5,21.2,23.9,26.9,56.0,74.0,86.0,14.0,48.0,172.0,9536.0,1006.4
2023,9,23,3.9,17.9,20.8,23.2,58.0,72.0,88.0,23.0,75.0,64.0,10837.0,1010.3
2023,9,24,0.4,16.6,18.0,19.4,47.0,60.0,72.0,19.0,52.0,104.0,6382.0,1019.1
2023,9,25,0.1,17.6,20.8,23.2,50.0,59.0,68.0,33.0,86.0,77.0,18307.0,1019.8
2023,9,26,0.0,20.5,23.9,27.4,42.0,59.0,69.0,35.0,70.0,65.0,18081.0,1019.0
2023,9,27,0.0,22.8,24.8,27.7,37.0,51.0,65.0,34.0,64.0,67.0,18066.0,1017.8
2023,9,28,0.0,21.7,24.1,27.3,40.0,49.0,58.0,22.0,53.0,87.0,17777.0,1017.8
2023,9,29,0.0,20.5,23.8,27.7,34.0,47.0,58.0,16.0,44.0,86.0,17846.0,1019.6
2023,9,30,0.0,20.1,23.3,27.4,41.0,52.0,63.0,10.0,36.0,99.0,15309.0,1020.6
2023,10,1,0.0,19.8,22.4,25.2,49.0,61.0,72.0,6.0,23.0,105.0,16131.0,1023.3
2023,10,2,0.0,18.7,21.3,24.1,67.0,72.0,79.0,4.0,10.0,79.0,15676.0,1023.9
2023,10,3,0.0,18.9,21.5,24.3,59.0,74.0,81.0,5.0,15.0,311.0,15440.0,1021.1
2023,10,4,0.0,19.4,21.5,24.8,44.0,59.0,72.0,24.0,57.0,70.0,10803.0,1022.7
2023,10,5,0.0,18.0,21.0,23.8,42.0,56.0,70.0,14.0,47.0,84.0,14860.0,1022.6
2023,10,6,0.0,19.3,21.8,25.4,35.0,50.0,59.0,13.0,44.0,75.0,15445.0,1023.4
2023,10,7,0.0,17.3,20.5,24.0,49.0,60.0,67.0,4.0,12.0,313.0,15471.0,1022.6
2023,10,8,0.0,18.1,20.8,23.0,60.0,71.0,82.0,5.0,15.0,324.0,12470.0,1021.5
2023,10,9,0.0,19.2,21.5,22.9,57.0,72.0,83.0,6.0,32.0,81.0,12911.0,1020.0
2023,10,10,0.0,19.9,21.7,22.9,64.0,76.0,83.0,5.0,21.0,97.0,11200.0,1019.5
2023,10,11,0.0,19.5,21.5,24.6,59.0,74.0,85.0,5.0,16.0,290.0,13903.0,1020.6
2023,10,12,0.0,19.1,20.9,22.8,72.0,79.0,84.0,5.0,16.0,133.0,10687.0,1020.1
2023,10,13,0.0,19.6,21.3,22.8,75.0,79.0,83.0,8.0,19.0,265.0,9386.0,1019.9
2023,10,14,0.0,19.8,21.8,23.3,61.0,72.0,82.0,12.0,27.0,142.0,13194.0,1013.6
2023,10,15,24.9,13.0,16.6,22.0,57.0,73.0,91.0,40.0,93.0,84.0,3036.0,1011.3
2023,10,16,0.0,11.2,13.5,16.1,36.0,52.0,67.0,32.0,67.0,81.0,11532.0,1019.4
2023,10,17,0.0,10.0,13.1,17.2,43.0,59.0,69.0,25.0,51.0,79.0,14106.0,1017.6
2023,10,18,7.6,11.6,14.0,16.3,51.0,71.0,93.0,10.0,35.0,103.0,3975.0,1014.3
2023,10,19,33.6,15.3,18.0,20.1,86.0,91.0,94.0,7.0,25.0,331.0,1518.0,1003.4
2023,10,20,10.7,16.8,22.2,24.5,65.0,76.0,94.0,18.0,69.0,299.0,2690.0,994.7
2023,10,21,1.9,16.9,20.0,22.6,68.0,77.0,84.0,10.0,27.0,210.0,7452.0,1002.1
2023,10,22,0.0,16.8,18.4,21.2,60.0,77.0,84.0,9.0,22.0,122.0,8840.0,1011.8
2023,10,23,0.0,16.6,18.8,20.5,63.0,76.0,84.0,7.0,16.0,137.0,11337.0,1016.3
2023,10,24,25.0,17.5,19.7,20.9,66.0,79.0,91.0,19.0,51.0,126.0,945.0,1007.6
2023,10,25,0.0,17.5,18.8,20.4,63.0,77.0,83.0,12.0,33.0,209.0,6652.0,1004.1
2023,10,26,12.8,17.2,18.4,20.5,74.0,82.0,92.0,9.0,39.0,146.0,6142.0,1000.7
2023,10,27,3.4,18.0,19.8,22.3,70.0,77.0,87.0,20.0,63.0,266.0,3826.0,995.3
2023,10,28,0.0,16.9,18.4,20.7,61.0,70.0,79.0,10.0,23.0,103.0,10084.0,1006.5
